name,typical_majors,all_eligible_classifications,typical_classifications,eligible_races,eligible_gender,eligible_sexuality,meeting_frequency,meeting_times,meeting_locations,dues_required,dues_cost,application_required,application_difficulty,time_commitment,member_count,club_type,competitive_or_non_competitive,leadership_roles_available,new_member_onboarding_process,typical_activities,required_skills,offered_skills_or_benefits,club_culture_style,inclusivity_focus,expected_member_traits,administrative_contact_info,website,national_local_affiliation,bio
Institute of Transportation Engineers,Engineering,,"Junior, Senior, Graduate",,,,Bi-weekly,,,No,,Yes,Medium,Medium,20-50,Professional,No,Yes,,Projects,,"Networking, Mentorship",Professional,,Interest-driven,tamuite.president@gmail.com,http://tamu.texite.org,No,"The purpose of this organization shall be to promote the advancement of transportation engineering. The goals of this organization shall be to foster the closer association of students with the transportation profession and the Institute of Transportation Engineers (ITE), to promote the development of professional spirit, and to identify and address common transportation interests among the student members."
Intellectual Property Aggies,"Pre-Law, Law",,"Junior, Senior, Graduate",,,,Monthly,,,No,,No,Low,Medium,0-20,Professional,No,Yes,,Workshops,,"Networking, Mentorship",Professional,,Interest-driven,tamuipaggies@gmail.com,,,"The mission and purpose of Intellectual Property Aggies (IPA) is to facilitate relationships between students interested in intellectual property law, the intellectual property law faculty and staff, and members of the community such as practicing attorneys. Intellectual Property Aggies will also promote activities to educate students about intellectual property law."
Interfraternity Council,,,Undergraduate,,,,,,,No,,No,Low,Medium,100+,Social,No,Yes,,Social events,,"Networking, Leadership development",Social,,Interest-driven,aggieifc.aa@gmail.com,http://aggieifc.org,No,"IFC exists as a resource to facilitate the growth and development of fraternity men in the areas of fraternal responsibility, leadership, civic engagement, and brotherhood among the member chapters."
Internal Audit Program - Student Association,,,"Junior, Senior, Graduate",,,,,,,,,No,Low,Medium,20-50,Professional,No,Yes,,"Workshops, Social events",,"Networking, Mentorship",Professional,,Interest-driven,tamuia@mays.tamu.edu,https://www.tamuiapsa.com/,No,The IAPSA is to provide undergraduate and graduate students with an educational and social organization that promotes internal auditing as a career objective.
International Business Association,"Business, Finance, Accounting, Marketing, Economics",,"Junior, Senior",,,,,,,,,No,Low,Medium,20-50,Professional,No,Yes,,Social events,,"Networking, Mentorship",Social,,Interest-driven,tamuiba1@gmail.com,http://www.tamuiba.com,,IBA is an open and inclusive organization that develops students into globally literate persons possessing the ability to communicate and do business around the globe.
International Council on Systems Engineering,Engineering,,"Junior, Senior, Graduate",,,,,,,,,No,Low,Medium,20-50,Professional,No,Yes,,"Networking, Workshops",,"Networking, Leadership development",Professional,,Interest-driven,,,,"The mission of INCOSE at Texas A&M is to facilitate the development of Systems Engineers through educational assistance, networking opportunities, ASEP certification assistance and leadership opportunities."
International Development and Economics Association,"Economics, Business, Public Policy",,"Junior, Senior, Graduate",,,,,,,No,,No,Low,Medium,20-50,Academic,No,Yes,,"Educational sessions, Research distribution",,"Networking, Mentorship",Academic-focused,,Interest-driven,bushschoolidea@gmail.com,,No,"The mission of IDEA is to engage students in the most pressing economic challenges confronting the United States and world economies by distributing policy-relevant research; hosting and participating in educational sessions; and engaging stakeholders in the areas of trade, economics, and public policy."
International Institute for Culture and Performing Arts Development,,,Undergraduate,,,,,,,,,No,Low,Medium,20-50,Cultural,No,Yes,,"Workshops, Social events",,"Networking, Mentorship",Social,,Interest-driven,aparupa.chatterjee@gmail.com,http://iicpd.tamu.edu,No,"To erase cultural and ethnic barriers by promoting and preserving the diverse cultural and performing arts heritage of Texas A&M faculties, staff and students. To form successful partnerships with academic departments and student organizations in order to organize multicultural events, seminars and workshops on and off campus."
International Society for Pharmaceutical Engineering,"Biology, Pre-Med, Health Sciences, Engineering",,"Junior, Senior",,,,,,,No,,No,Low,Medium,20-50,Professional,No,Yes,,Networking,,Networking,Professional,,Interest-driven,tamu.ispe.sc@gmail.com,https://tamuispe.wixsite.tamu.edu/home,,"The mission of the organization is ""Connecting students to Industry"". The purpose of this organization is to help students learn more about and network with professionals in the pharmaceutical and biotechnology industry around Texas and nationally."
International Student Association,,,Undergraduate,,,,,,,No,,No,Low,Medium,50-100,Cultural,No,Yes,,"Social events, Volunteering",,"Networking, Leadership development",Social,,Interest-driven,isa@msc.tamu.edu,http://isa-aggies.tamu.edu,No,"The mission of the International Student Association at Texas A&M University is to promote cultural awareness and diversity on campus and in the community, advocate for the general welfare of the international student body, and provide opportunities for the development of global leadership skills in its members."
International Student Mentors Association,,,Undergraduate,,,,,,,,,No,Low,Low,20-50,Social,No,Yes,,"Social events, Cultural events, Trips",,Mentorship,Social,,Interest-driven,ismamentors@gmail.com,http://ismatamu.com,No,"The International Student Mentors Association (ISMA) is a student organization at Texas A&M that pairs international students with current Aggies to build friendships and ease the transition to life in the United States. Mentors help guide and support international students, while mentees gain opportunities to learn about American culture and connect with a supportive community."
Ismaili Muslim Student Association,,,Undergraduate,South Asian,,,,,,,,No,Low,Medium,20-50,Cultural,No,Yes,,"Social events, Volunteering",,"Networking, Mentorship",Social,,Interest-driven,tamuimsa@gmail.com,,,"To serve to promote unity and a sense of belonging among Ismaili Muslim students. To encourage members to engage in service, social, health and fitness, and professional development activities while embracing pluralism and maintaining the ethics and values of the Ismaili faith."
ISPOR Student Chapter at TAMU,,,"Junior, Senior, Graduate",,,,,,,Yes,,No,Low,Medium,0-20,Professional,No,Yes,,"Workshops, Social events",,"Networking, Mentorship",Professional,,Interest-driven,toneyduong@exchange.tamu.edu,http://www.ISPOR.org,Yes,"The ISPOR Student Chapter at Texas A&M University provides an environment for students to share knowledge in pharmacoeconomics and health outcomes research, bridging students with the pharmaceutical industry and academia."
Japanese Culture Association,,,Undergraduate,,,,,,,No,,No,Low,Low,20-50,Cultural,No,Yes,,Social events,,Networking,Social,,Interest-driven,tamujca@gmail.com,https://linktr.ee/tamujca,No,We are committed to helping students learn and practice Japanese as well as teach students about the culture of Japan during our meetings and events. We also provide a way for native Japanese speakers to meet with each other and feel more welcome to Texas A&M University.
Jewish Law Students Association,"Pre-Law, Law",,"Junior, Senior, Graduate",,,,,,,No,,No,Low,Medium,0-20,Cultural,No,Yes,,Social events,,Networking,Social,,Interest-driven,,,,To establish an inclusive Jewish community at Texas A&M School of Law.
John Quincy Adams Society,,,"Junior, Senior",,,,,,,No,,No,Low,Medium,20-50,Other,No,Yes,,Workshops,,Networking,Academic-focused,,Interest-driven,,http://jqas.org,Yes,"The John Quincy Adams Society (JQAS) is a national network of student groups committed to identifying, educating, and equipping the next generation of scholars and policy leaders to encourage a new era of realism and restraint in American foreign policy."
Journal of Law & Civil Governance at Texas A&M,"Pre-Law, Law",,"Junior, Senior, Graduate",,,,,,,No,,Yes,Medium,Medium,20-50,Academic,No,Yes,,Projects,,"Networking, Mentorship",Academic-focused,,Interest-driven,eic-jlcg@law.tamu.edu,,,"The Texas A&M Journal of Law & Civil Governance is a forum for the rigorous debate and discussion of leading policy issues. The Journal seeks to explore the intersection between the law, government, and the flourishing of civil society."
Juventutem,,,Undergraduate,,,,,,,No,,No,Low,Medium,20-50,Cultural,No,Yes,,Volunteering,,Networking,Social,,Interest-driven,,,,"Juventutem seeks to promote the traditional teachings and practices of the Roman Catholic Church amongst Texas A&M students, lobby for the Traditional Latin Mass in Bryan-College Station, sanctify the youth, and spread the Catholic Faith."
K-pop Dance Association,,,Undergraduate,,,,,,,No,,No,Low,Medium,20-50,Cultural,No,Yes,,Social events,,Networking,Social,,Interest-driven,kdatamu@gmail.com,https://kdatamu.wixsite.com/thekda,,To spread Korean culture through dance and performance.
Kanakuk Ags,,,Undergraduate,,,,,,,No,,No,Low,Low,20-50,Social,No,Yes,,Social events,,Networking,Social,,Interest-driven,kaileypayne@tamu.edu,http://www.kanakuk.com,No,"The purpose of Kanakuk Ags is to provide an opportunity for Kanakuk/KAA Kamp's summer staff to be able to fellowship together here at Texas A&M University based on the fellowship of the body of Christ. Also, Kanakuk Ags will organize activities during each semester and support any other Kanakuk/KAA ministries that come to Texas A&M."
KANM,,,Undergraduate,,,,,,,,,No,Low,Medium,20-50,Creative,No,Yes,,"Social events, Live events",,Networking,Social,,Interest-driven,manager@kanm.org,https://kanm.tamu.edu,No,"KANM Student Radio is where Texas A&M students come together to share their voices, their music, and their stories. As a student organization, we’re all about celebrating creativity and individuality, giving Aggies a platform to showcase their unique perspectives."
Kappa Alpha Order,,,Undergraduate,,Men,,,,,,,Yes,Medium,Medium,100+,Social,No,Yes,,"Social events, Volunteering",,"Networking, Leadership development",Social,,Interest-driven,,http://aggieka.org,No,"Our goal as a chapter is to act as a moral compass for the modern gentleman. We strive to enlighten young men on the significance of integrity, gentlemanly conduct, and honorable character."
Kappa Alpha Psi,,Undergraduate,Undergraduate,"Black, African American",Men,,,,,Yes,,Yes,High,Medium,100+,Cultural,No,Yes,,"Social events, Volunteering",,"Networking, Mentorship",Social,,Interest-driven,blackheartnupes@gmail.com,http://blackheartnupes.wixsite.com/blackheartnupes/nu-alpha,Yes,"Kappa Alpha Psi aims to unite college men of culture, patriotism, and honor in a bond of Fraternity, encourage honorable achievement in every field of human endeavor, and promote the spiritual, social, intellectual, and moral welfare of its members."
Kappa Alpha Theta,,Undergraduate,Undergraduate,,Women,,,,,,,Yes,High,Medium,100+,Social,No,Yes,,Social events,,Networking,Social,,Interest-driven,,http://www.texasaggietheta.com,Yes,"Kappa Alpha Theta promotes the social, intellectual, and moral growth of college women."
Kappa Delta,,Undergraduate,Undergraduate,,Women,,,,,,,Yes,High,Medium,100+,Social,No,Yes,,Social events,,Networking,Social,,Interest-driven,kappadeltapresident@gmail.com,http://tamu.kappadelta.org,Yes,"The purpose of Kappa Delta Sorority is to promote true friendship among the college girls of our country by inculcating into their hearts and lives those principles of truth, of honor, of duty, without which there can be no true friendship."
Kappa Delta Chi,,Undergraduate,Undergraduate,,Women,,,,,Yes,,Yes,High,Medium,100+,Social,No,Yes,,Volunteering,,"Networking, Leadership development",Social,,Interest-driven,tamu.president@kappadeltachi.org,,,"Kappa Delta Chi promotes development of character through participating in community service, leadership, scholarship, and sisterhood building activities."
Kappa Kappa Gamma,,Undergraduate,Undergraduate,,Women,,,,,,,Yes,High,Medium,100+,Social,No,Yes,,Social events,,"Networking, Mentorship",Social,,Interest-driven,epsilonrhokkg@gmail.com,http://tamu.kappa.org,Yes,"Kappa Kappa Gamma is an organization of women, which seeks for every member throughout her life bonds of friendship, mutual support, opportunities for self-growth, respect for intellectual development, and an understanding of and allegiance to positive ethical principles."
Kappa Phi Beta Christian Sisterhood,,,Undergraduate,,Women,,,,,,,No,Low,Medium,20-50,Social,No,Yes,Open,"Volunteering, Social events",,"Networking, Mentorship",Social,,Interest-driven,aggie.kappaphiclub@gmail.com,http://tamukappaphi.wixsite.com/info,No,"Kappa Phi Christian Sisterhood is a Christ-centered organization for college women. It provides an opportunity for, and challenges them to grow in their knowledge and understanding of Christ, to be a loving community and provide fellowship to fellow sisters, and to be personally involved, active participants in our Church, school, and community."
Kappa Sigma,,,Undergraduate,,Men,,,,,,,Yes,High,Medium,100+,Social,No,Yes,,"Social events, Volunteering",,"Networking, Leadership development",Social,,High commitment,advisor@aggiekappasigma.com,https://www.aggiekappasigma.com,Yes,"The Kappa Sigma Fraternity, founded in 1982 at Texas A&M University, aims to create better men through the pillars of Fellowship, Leadership, Scholarship, and Service. With over 200 chapters and colonies, it has a strong presence and a mission to uphold its traditions and values."
Kappa Theta Beta,,,Undergraduate,,Women,,,,,,,No,Low,Medium,20-50,Social,No,Yes,,"Volunteering, Social events",,"Networking, Mentorship",Social,,Interest-driven,tamuktb@gmail.com,,,"As a sisterhood of Catholic women growing together in holiness, Kappa Theta Beta exists to encounter Christ in prayer, serve the community, and foster fellowship."
Kappa Upsilon Chi,,,Undergraduate,,,,,,,No,,No,Low,Medium,20-50,Service,No,Yes,,Volunteering,,"Networking, Mentorship",Social,,Interest-driven,tamukyx@gmail.com,https://tamukyx.org/,No,"KYX exists to glorify Jesus Christ, uphold Biblical Christian standards, influence the community through service, and help others strengthen their academic achievement."
"KARURA, Mars Rover Project",,,,,,,,,,,,No,Low,Medium,20-50,Other,No,Yes,,Projects,,Technical skills,Very active,,Interest-driven,karura.urc.us@gmail.com,https://karura-project.studio.site/EN,,Building a Mars Rover for University Rover Challenge with students from foreign countries.
Kevin Carreathers Leadership Institute,,Undergraduate,Undergraduate,,,,,,,No,,No,Low,Medium,0-20,Service,No,Yes,,Workshops,,"Mentorship, Leadership development",Social,,Interest-driven,kclitamu@gmail.com,,,"The purpose of KCLI is to provide a two-year leadership development, skills training, and mentorship program for incoming freshmen at Texas A&M University."
Korean Aggies Badminton Club,,,Undergraduate,,,,,,,No,,No,Low,Medium,20-50,Sports,Yes,Yes,,Social events,,Networking,Social,,Interest-driven,tamukabc@gmail.com,,,The Korean Aggies Badminton Club was founded in 2018 at Texas A&M University to promote fun and health through badminton. Members can practice with coaches to improve their skills.
Korean-American Scientists and Engineers Association,,,Undergraduate,"Asian,Korean",,,Bi-weekly,,,No,,No,Low,Medium,20-50,Cultural,No,Yes,,Social events,,Networking,Social,,Interest-driven,atm.ksea@gmail.com,http://ksea.tamu.edu,No,"To promote friendship among Korean and Korean-American students in science, engineering, and related fields, to help develop their full career potential in their respective areas, to foster the international leaders for the cooperation between the USA and Korea, and to promote the application of science and technology for the general welfare of society."
Lambda Chi Alpha,,Undergraduate,Undergraduate,,Men,,,,,Yes,,No,Low,Medium,100+,Social,No,Yes,,Social events,,Networking,Social,,Interest-driven,aggielambdachi@gmail.com,https://www.lambdachialphatamu.com,Yes,"Lambda Chi Alpha is one of the largest men's fraternities in North America, with more than 280,000 members and chapters at 195 Universities across North America. At Texas A&M, we are proud to be one of the fastest-growing and most active chapters on campus."
Lambda Delta Psi Sorority,,,Undergraduate,Asian,Women,,,,,Yes,,Yes,Medium,Medium,100+,Cultural,No,Yes,,"Social events, Volunteering",,"Networking, Mentorship",Social,,Interest-driven,tamuldpsi@gmail.com,https://www.tamuldpsi.org,Yes,Lambda Delta Psi Sorority is an Asian American interest sorority founded at the University of Oklahoma. Our purpose is to cultivate a sisterhood of distinguished women through friendship and service while maintaining high moral and academic standards.
Lambda Pi Eta,"Communication, Media Studies",,"Junior, Senior, Graduate",,,,,,,No,,Yes,Medium,Medium,20-50,Academic,No,Yes,,"Workshops, Social events, Projects",,"Networking, Mentorship",Academic-focused,,Interest-driven,LambdaPiEtaTAMU@gmail.com,http://lpe.tamu.edu,No,"Lambda Pi Eta recognizes, fosters, and rewards outstanding scholastic achievement in communication, telecommunication, and media studies; stimulates interest in the broad field of communication; promotes professional development among undergraduates; provides opportunities to discuss and exchange ideas; and explores options for graduate education."
Lambda Theta Alpha,,Undergraduate,Undergraduate,"Hispanic, Latino",Women,,,,,Yes,,Yes,Medium,Medium,100+,Cultural,No,Yes,,"Social events, Volunteering",,"Networking, Mentorship",Social,,Interest-driven,lta.bh.president@gmail.com,https://tamultabh.wixsite.com/tamulambdaladies/history,Yes,"Lambda Theta Alpha is the first Latina Sorority founded in the United States, established to empower women through unity, love, and respect while promoting scholarly excellence, cultural awareness, and community activism."
Latino Aggie Mentorship Program,,,Undergraduate,"Hispanic, Latino",,,,,,No,,No,Low,Medium,20-50,Cultural,No,Yes,,Volunteering,,Mentorship,Social,,Interest-driven,tamulamp@gmail.com,https://sites.google.com/view/tamulamp/home?authuser=1,No,The mission of the Latino Aggie Mentorship Program is to create a positive environment that will foster a sense of belonging by serving as a place to engage and create meaningful lasting friendships with other people from similar backgrounds as they navigate the uncharted field of college and the pre-health journey.
Latino Logradores,,Undergraduate,Freshman,"Hispanic, Latino",,,,,,,,No,Low,Medium,20-50,Cultural,No,Yes,,"Social events, Volunteering",,Mentorship,Social,,Interest-driven,latinologradores@gmail.com,https://latinologradores.wixsite.com/website-1,,"Latino Logradores (LatiLo) is a freshman program that supports the success of Latino/a/x students at Texas A&M University by providing mentorship, a family atmosphere, aid with the transition from high school to college, and resources to help students thrive."
Latino Males United,,,Undergraduate,"Hispanic, Latino",Men,,,,,,,No,Low,Medium,20-50,Cultural,No,Yes,,"Social events, Volunteering",,"Networking, Mentorship",Social,,Interest-driven,latinomalesunited@gmail.com,,,To create a space which allows Latino males a healthy environment to express relevant issues surrounding their specific community and assists in their holistic development and support at Texas A&M University.
Latino Medical Student Association,"Biology, Pre-Med, Health Sciences",,"Junior, Senior, Graduate","Hispanic, Latino",,,,,,No,,No,Low,Medium,20-50,Cultural,No,Yes,,Volunteering,,"Mentorship, Leadership development",Social,,Interest-driven,,,,"The Latino Medical Student Association unites and empowers medical students through service, mentorship and education to advocate for the health of the Latino community."
Latino Medical Student Association Pre-med Latino Undergraduate Society,"Biology, Pre-Med, Health Sciences",,Undergraduate,"Hispanic, Latino",,,,,,No,,No,Low,Medium,20-50,Cultural,No,Yes,,Volunteering,,"Mentorship, Leadership development",Social,,Interest-driven,lmsaplustamu@gmail.com,https://tinyurl.com/lmsaplustamu,No,"The Latino Medical Student Association - Pre-Medical Latino Undergraduate Society unites and empowers medical students through service, mentorship and education to advocate for the health of the Latino community. Our vision is to unify Pre-Medical Students to promote Latino health."
Latinx Graduate Student Association,,,"Junior, Senior, Graduate","Hispanic, Latino",,,,,,,,No,Low,Medium,20-50,Cultural,No,Yes,,"Workshops, Social events",,"Networking, Mentorship",Social,,Interest-driven,hlgsa.tamu@gmail.com,https://www.lgsa.club/,,"The LGSA is an educational organization committed to the recruitment and retention, and the academic/professional development of Latinx graduate students, as well as to the solicitation of support to foster a nurturing environment for Latino/a graduate students at Texas A&M."
Latinx Graduation Coalition,,,Undergraduate,"Hispanic, Latino",,,,,,No,,No,Low,Medium,20-50,Cultural,No,Yes,,Social events,,Networking,Social,,Interest-driven,tamulatinxgraduation@gmail.com,http://tamulatingrad.com,No,Our mission is to spread the values of inclusivity and diversity throughout Texas A&M University by celebrating the accomplishments of our Aggies in Spanish and English through planning the Latinx Graduation Ceremony every Fall and Spring Semester.
Latinx Law Student Association,"Pre-Law, Law",,"Junior, Senior, Graduate","Hispanic, Latino",,,,,,No,,No,Low,Medium,20-50,Cultural,No,Yes,,"Social events, Volunteering",,"Networking, Mentorship",Social,,Interest-driven,tamulawllsa@gmail.com,https://www.facebook.com/TAMULAWLLSA/,,"LLSA is every Latina/o law student's connection to the larger Latina/o legal community. We strive to be the leading center for student resources, dialogue and action."
Latinx Veterinary Medical Association Student Chapter,,,"Junior, Senior, Graduate","Hispanic, Latino",,,,,,Yes,,No,Low,Medium,20-50,Cultural,No,Yes,,"Social events, Volunteering",,"Networking, Mentorship",Social,,Interest-driven,tamu.latinxvma@gmail.com,https://www.latinxvma.org,,The LVMA's mission is to empower Latinx professionals in the veterinary field and to support the next generation of Latinx veterinarians.
Latter-day Saint Student Association,,,Undergraduate,,,,,,,No,,No,Low,Medium,20-50,Service,No,Yes,,"Volunteering, Social events",,"Networking, Mentorship",Social,,Interest-driven,hullaw@churchofjesuschrist.org,https://linktr.ee/CSInstitute?utm_source=qr_code,,To encourage and support members of LDSSA in achieving their academic goals and maintaining a balanced life while on campus. To encourage members of LDSSA to become an influence for good by participating in activities and service on campus and in the community.
Law Fellowship,"Pre-Law, Law",,"Junior, Senior, Graduate",,,,,,,No,,No,Low,Medium,20-50,Professional,No,Yes,,Volunteering,,"Networking, Mentorship",Professional,,Interest-driven,tamupublicinterestfellowship@gmail.com,https://law.tamu.edu/current-students/student-affairs/student-organizations/public-interest-law-fellowship,No,The Texas A&M Public Interest Law Fellowship is a student-run organization devoted to raising awareness of legal work in the public interest sector. The fellowship program funds internships for deserving law school students performing public interest law work during the summer to provide crucial legal services to those in need.
League of United Latin American Citizens Council 22424,,,Undergraduate,"Hispanic, Latino",,,,,,No,,No,Low,Medium,20-50,Cultural,No,Yes,,"Volunteering, Social events",,"Networking, Leadership development",Social,,Interest-driven,lulac.22424@gmail.com,,,"The Mission of the League of United Latin American Citizens is to advance the economic condition, educational attainment, housing, health, and civil rights of the Hispanic population of Texas A&M University, its surrounding communities, and the greater United States as a whole."
Lechner-McFadden Community Council,,,Undergraduate,,,,,,,No,,No,Low,Medium,20-50,Social,No,Yes,,Social events,,"Networking, Leadership development",Social,,Interest-driven,taylor.artis@tamu.edu,https://rha.tamu.edu,No,"The Lechner-McFadden Community Council represents the residents of Lechner and McFadden Halls at Texas A&M University and functions as a leadership organization within the Residential Housing Association (RHA). Our mission is to build an active, fun, and intellectually engaging residential community through leadership, programming, and advocacy."
Legett Community Council,,,Undergraduate,,,,,,,No,,No,Low,Medium,20-50,Social,No,Yes,,Social events,,Networking,Social,,Casual,blanca.macias@tamu.edu,https://rha.tamu.edu,No,"The Legett Hall Community Council represents the residents of Leggett Hall at Texas A&M University and operates under the support and guidance of the Residential Housing Association (RHA). As a student-led leadership body, the council is committed to enhancing the residential experience through programming, student advocacy, and community engagement."
LEGION,,,Undergraduate,,Men,,,,,No,,No,Low,Medium,20-50,Service,No,Yes,,Volunteering,,"Networking, Leadership development",Social,,Interest-driven,president.tamulegion@gmail.com,http://www.tamulegion.com,No,"LEGION is a men's organization at Texas A&M University aimed at developing Aggie men into strong leaders while emphasizing respect, service, and Texas A&M traditions."
LEIAS,,,Undergraduate,,Women,,,,,,,No,Low,Medium,20-50,Service,No,Yes,,Volunteering,,Leadership development,Social,,Interest-driven,president.leias@gmail.com,http://www.tamuleias.com,,"The purpose of LEIAS is to provide members with an enriched college experience filled with activities of selfless service, sisterhood, and Aggie traditions. LEIAS builds character traits that every Aggie should embody, develops leadership qualities for individuals in college and in the workforce, and promotes life-long interpersonal relationships."
Appelt Community Council,,,Undergraduate,,Men,,,,,No,,No,Low,Medium,50-100,Social,No,Yes,,Social events,,Networking,Social,,Interest-driven,connor_mcdonald@tamu.edu,https://rha.tamu.edu,No,"The Appelt Hall Community Council represents the residents of Appelt Hall at Texas A&M University. Operating under the guidance of the Residential Housing Association (RHA), the council is dedicated to enhancing the residential experience by fostering community engagement, organizing programs, and advocating for resident needs."
"Lesbian, Gay, Bisexual, Transgender, and Queer Aggies",,,Undergraduate,,,Gay/Lesbian,,,,,,No,Low,Low,20-50,Social,No,Yes,,Social events,,Networking,Social,,Interest-driven,lgbtqatamu@gmail.com,https://www.facebook.com/lgbtqaggies/,,"The purposes of LGBTQA are threefold: to provide support for all lesbians, gays, bisexuals, transgender, and queer individuals within the University and surrounding communities; to provide educational information on historical and current issues regarding lesbian, gay, bisexual, transgender and queer individuals; and to create opportunities for welcoming, safe, and supportive social gatherings."
LIGHT,,Undergraduate,"Junior, Senior",,,,,,,No,,No,Low,Medium,20-50,Service,No,Yes,,Volunteering,,Networking,Social,,Interest-driven,,,,"The purposes of this organization shall be to bring together a multicultural group of students working toward the common goal of community service, create awareness among students of community outreach opportunities, promote participation in service activities, encourage a collegial bond among students, residents, faculty, and staff, and enhance the reputation of the dental school."
Lilies,,,Undergraduate,,Women,,,,,No,,No,Low,Medium,20-50,Service,No,Yes,,Volunteering,,"Networking, Leadership development",Social,,Interest-driven,aggie.lilies@gmail.com,http://aggie-lilies.com,No,"The mission of Aggie Lilies is to promote an environment which fosters genuine friendships among the women of Texas A&M University and encourages each member to be their truest and best selves. Through our Philanthropy of service to the First Responders in the Bryan-College Station area, we strive to build up the women of Lilies to continue a spirit of compassion throughout their lives."
LoveWorld Texas A&M University,,,Undergraduate,,,,,,,No,,No,Low,Medium,20-50,Social,No,Yes,,"Social events, Volunteering",,"Networking, Mentorship",Social,,Interest-driven,loveworldtamu@gmail.com,,Yes,We believe in building a happier world through love and following the example of our Lord Jesus Christ - who is the ultimate expression of love.
Lutheran Student Fellowship,,,Undergraduate,White,,,,,,No,,No,Low,Medium,20-50,Social,No,Yes,Open,"Volunteering, Social events",,Leadership development,Social,,Interest-driven,UniversityLutheranCS@gmail.com,http://www.ulctamu.org,No,"Lutheran Student Fellowship (LSF) is a vibrant, recognized student organization at Texas A&M University. We’re a welcoming Christian community focused on leadership growth, meaningful outreach, and building genuine relationships."
"MAES: Latinos in Science and Engineering, Texas A&M University Chapter","Engineering, Science",,"Junior, Senior, Graduate","Hispanic, Latino",,,,,,,,No,Low,Medium,20-50,Professional,No,Yes,,"Workshops, Social events, Volunteering",,"Networking, Mentorship, Leadership development",Social,,Interest-driven,maestamu.main@gmail.com,,,"The purpose of the MAES: Latinos in Science and Engineering is to promote the professional and personal development of minorities pursuing degrees in engineering and science. We encourage the involvement of minorities in higher education, as well as provide academic assistance and growth opportunities in the STEM industry."
Maggies,,,Undergraduate,,Women,,,,,,,No,Low,Medium,20-50,Service,No,Yes,,Volunteering,,"Networking, Leadership development",Social,,Interest-driven,,http://www.maggiestamu.com,,"Maggies is an organization formed to unite a diverse group of primarily women student leaders. Through service, networking, leadership development, and the promotion of Aggie Spirit and traditions, we will enhance our college experience and give back to the community."
Major General T. G. Darling Recruiting Company,,Undergraduate,Undergraduate,,,,,,,No,,Yes,High,Medium,20-50,Service,No,Yes,,Volunteering,,Networking,Social,,High commitment,hoffmanjb@tamu.edu,http://cadets.tamu.edu,No,The purpose of the Texas A&M Corps of Cadets Major General T. G. Darling Recruiting Company is to provide well-trained and highly motivated cadets to support Corps of Cadets recruiting events.
Maroon Health,"Biology, Pre-Med, Health Sciences",,"Junior, Senior, Graduate",,,,,,,No,,No,Low,Medium,20-50,Service,No,Yes,,Volunteering,,"Networking, Mentorship",Social,,Interest-driven,rijulnanda@tamu.edu,,,To connect School of Medicine students in Houston to volunteering opportunities in health education at Open Gate Homeless Ministries and in the Houston area broadly.
Maroon Life,,,Undergraduate,,,,,,,No,,No,Low,Medium,20-50,Creative,No,Yes,,Projects,,"Networking, Mentorship",Social,,Interest-driven,maroonlife@thebatt.com,,No,Provide a look behind the maroon curtain through dynamic content and equip our students with the skills and passion to set them apart in their careers and in life. Provide dynamic stories and an engaging visual look into the Texas A&M campus and community.
Maroon Out,,,Undergraduate,,,,,,,,,No,Low,Medium,100+,Social,No,Yes,,Social events,,Networking,Social,,Interest-driven,headdirector@maroonout.org,https://maroonout.tamu.edu,No,"Since 1998, Maroon Out has united former, current, and future Aggies in a shared display of school spirit, selling over 50,000 Maroon Out shirts each year. This student-led organization isn’t just about creating a sea of maroon at annual games—it’s about fostering unity and giving back to the Aggie community."
Maroon Prestige,,Undergraduate,Undergraduate,,,,,,,No,,No,Low,Medium,20-50,Cultural,No,Yes,,Social events,,Networking,Social,Yes,Interest-driven,maroonprestige@gmail.com,https://maroonprestige.wixsite.com/tamu,No,"The Maroon Prestige Dance Team is committed to representing Texas A&M with the highest caliber of school spirit, personal integrity, and dance talent through their high standards of excellence and tradition of teamwork. The overall mission is to uplift and unite our community through music and morale."
Maroon Steel,,,All majors welcome,,,,,,,,,No,Low,Medium,20-50,Cultural,No,Yes,,Projects,,"Networking, Leadership development",Social,,Interest-driven,maroonsteelband@gmail.com,https://linktr.ee/maroon.steel12,No,"Maroon Steel is a steelpan ensemble that enhances music appreciation and performance while encouraging collaboration, inclusion, and leadership. The group promotes a greater understanding of the history and culture of the African diaspora as it pertains to the Caribbean."
Materials Advantage,Engineering,,"Junior, Senior, Graduate",,,,,,,,,No,Low,Medium,20-50,Professional,No,Yes,,"Workshops, Social events, Volunteering",,"Networking, Technical skills",Professional,,Interest-driven,tamumaterialadvantage@gmail.com,https://www.linkedin.com/in/material-advantage-tamu-8313042b2/,,"To provide students studying (and/or interested in) the field of materials science and engineering opportunities to further their professional development, technical laboratory skills, social presentation skills, and professional and recreational networks."
Materials Science and Engineering Ambassadors,Engineering,,"Junior, Senior, Graduate",,,,,,,No,,Yes,Medium,Medium,20-50,Academic,No,Yes,,Projects,,"Networking, Mentorship",Academic-focused,,Interest-driven,msen-ambassadors@tamu.edu,https://engineering.tamu.edu/materials/advising/MSEN-Student-Ambassadors.html,No,"The purpose and mission of this organization is to promote the Department of Materials Science and Engineering (MSEN) through tours, demonstrations, and discussions."
